i,Name,WCr,WCs,Alpha,Npar,Lambda,Ksfit,R2
 1,B01,0.02000000,0.42749391,0.02165898,1.73473668,0.98087016,31.22501566,0.99928647
 2,B02,0.02000000,0.43387803,0.02164487,1.34877009,7.20207718,83.24163508,0.99363918
 3,B03,0.02000000,0.44279037,0.01499250,1.50488028,0.13920935,19.07723673,0.99991009
 4,B04,0.02000000,0.46192638,0.01488005,1.39684954,0.29453599,34.88427629,0.99995466
 5,B05,0.01000000,0.38088059,0.04280723,1.80780022,0.02422689,63.65040270,0.99938105
 6,B06,0.01000000,0.38481561,0.02092272,1.24225002,-1.20013000,104.10300497,0.99996513
 7,B07,0.00000000,0.40058182,0.01834939,1.24827945,0.95201640,14.58232666,0.99982507
 8,B08,0.01000000,0.43265125,0.01047815,1.27799235,-1.91928931,3.00274059,0.99992937
 9,B09,0.00000000,0.42953862,0.00696387,1.26717854,-2.38705852,1.74758567,0.99957240
10,B10,0.01000000,0.44811194,0.01283449,1.13525008,4.58051343,3.83228337,0.99978877
11,B11,0.01000000,0.59128611,0.02162021,1.10669523,-5.54921646,6.30532049,0.99992182
12,B12,0.01000000,0.52974855,0.01656167,1.09067067,-4.49358138,2.24589475,0.99994968
13,B13,0.01000000,0.41608364,0.00836212,1.43702415,-1.35691308,29.83240784,0.99979467
14,B14,0.01000000,0.41677442,0.00541049,1.30152771,-0.33492567,0.89502313,0.99955305
15,B15,0.01000000,0.52845807,0.02373064,1.28234728,-1.47756447,87.45078892,0.99997090
16,B16,0.01000000,0.78606073,0.02107196,1.27879843,-1.22093590,12.35724606,0.99988024
17,B17,0.00000000,0.71862598,0.01906191,1.13665830,0.00010000,4.48373535,0.99994980
18,B18,0.00000000,0.76545233,0.02046830,1.15070881,0.00010000,13.14456155,0.99848936
19,O01,0.01000000,0.36584689,0.01598691,2.16275113,2.86796720,22.32215442,0.99790516
20,O02,0.02000000,0.38706390,0.01608317,1.52441823,2.43966226,22.76175599,0.99624291
21,O03,0.01000000,0.33981025,0.01724264,1.70339467,0.00010000,12.36681012,0.99994436
22,O04,0.01000000,0.36407401,0.01364178,1.48843957,2.17939707,25.81471467,0.99931129
23,O05,0.01000000,0.33670050,0.03030449,2.88750186,0.07360004,17.41850374,0.99955887
24,O06,0.01000000,0.33343415,0.01595936,1.28870487,-1.00974832,32.83389870,0.99992008
25,O07,0.01000000,0.51312621,0.01198516,1.15301795,-2.01328903,37.55041952,0.99992455
26,O08,0.00000000,0.45375142,0.01132406,1.34596812,-0.90382318,8.64086044,0.99985518
27,O09,0.00000000,0.45824566,0.00971504,1.37578384,-1.01308296,3.76662698,0.99986043
28,O10,0.01000000,0.47234331,0.01004814,1.24569139,-0.79295916,2.30006721,0.99967073
29,O11,0.00000000,0.44361666,0.01431555,1.12600054,2.35713901,2.12243578,0.99984347
30,O12,0.01000000,0.56070265,0.00881287,1.15812806,-3.17226476,1.07972884,0.99960407
31,O13,0.01000000,0.57326800,0.02785405,1.07995207,-6.09131057,9.68929074,0.99993563
32,O14,0.01000000,0.39387829,0.00328777,1.61657253,0.51401193,2.49598427,0.99951641
33,O15,0.01000000,0.41005808,0.00775624,1.28734271,0.00010000,2.79125069,0.99977207
34,O16,0.00000000,0.88924579,0.00971073,1.36357644,-0.66464707,1.46262444,0.99993746
35,O17,0.01000000,0.84863548,0.01192909,1.27153561,-1.24929996,3.40200949,0.99991423
36,O18,0.01000000,0.58027825,0.01265676,1.31617171,-0.78553413,35.95127916,0.99977051
